customer_unique_id,first_order_id,second_order_id,days_between_orders
a4030b5e97ffc14114e66d82df860f6f,cedac928ba1f320f1f61e79b3801b5c5,7a55d04b91c3854b9cb2444fccc8dcdf,438.226782
eb4520b16c32518b6615f2d50f1be1bb,21826e0954bd6550ea7b7a5665bc636f,aeb70ca14a984230b34a6cbf48fe6d8a,435.847211
796214f3f3b496b3b116986185984393,20dba2f8adcb7effe9f8fd64c8818656,0e93edf664c68e407889c757350ef76a,434.655116
5d323409404dee6bdb0f6cf9ef828dae,0a3fcfaf1098f95867cdeeb766561eae,1397417a57ad1bbfe8d639df8cdee908,432.869329
cb36d0f12c99d07935b706269045f613,faee84a4283f8d770ea390010415ad05,c1499ec470fbfa0a44ba5d94f3a16ab2,432.202350
4041baa51d9eae8f5955ccd4f02bb044,5852550cf22fcb9c36345a0b65992ff5,79581b0708489f6f9539c0d29dc53bb7,431.024595
cd6c68c5fad15e0a5a5c1150546704e0,e737af03de32cf2b9d013f5831754def,e90d8a867960fe909ecb460cb3a9e4d1,428.053438
ece908ca0502def5dd56deca8a5c67d5,4cbf4f8f95033da28ecc48d007d1b49f,3e6cbccd0e3c5e4972f1f1f178b81b08,427.083171
da8ac849037c7201a41a4db0b1fa963e,f4e8ad5799c4158d5a46252237570e68,44809c64bc4e272b0ffd44dcaa3beb8c,425.272188
fcd0ab79592faab19e2bf386cf69fbcd,a8b8b7289262a652bbc1c042766c97c8,57db3577cc4d6b5ab2b9849d29c3fc61,420.913322
54e0a7cc9c09c591bd186e4569c7bf30,79de12ad0d6a9e82e8f7bd4cb879a1a7,26e3ef9735227d94c5e14a0a461d0ab5,420.218171
aff7f8b5669fbc5d6f6097ce45e63b19,66a7368cc39c6a3e93415aaf9e9b863a,d6e8c00fe3761c680d73781f517b7e63,414.161944
9b7fcfa05fb6f8b88fea3d74a6ba77d6,efcd8852328a37fca811747c09c6fb69,44d14514a06127f72cd96745ed0eed21,413.020312
ee04cc9bca4c9198bec5c54c2542dd3b,4a38745716bb4884b76fd3a12ad5cdd2,a147b97f47abbdb02f67ea00da442cd8,411.707280
d6db3091e8c13023bf1e6d367b8c0847,9edb4a65f2f453139e9dba567889dc0e,7b9bc6b76ad9656ca99e8e1f2a6d249b,409.169074
6f65f19c2dcfcab8b76b2fafb5b840e1,e2d9d1ca77005d8626107e6d9da6ee63,2d62a673525d6861e6f5f7ea6969c96c,409.045197
46da36c3df7118852b770394d1ba2be5,dc8155452b97affece4c5a698beb11f6,ad40bc353ed6f8f975faf818439c7de1,408.190972
8b4bb71a7d37d4c2560e0f0409a58905,63dba135b96cf8bb30f38a43bc02eae9,9804b55805c8c19afdf0e9af3e494a0b,404.617014
21559d7ff0ebff720e5e160184338fed,ac00b2ff2ee93f4ac33b64cd6b656ab4,e21bb5b2af087339bd3614d77a0053a1,403.776667
1a328a664417dc7cbff0ed7df49f5a3d,278ce3d59dd06d461a1a4d6703790ae9,0bd92af478239fae08847d13e9fd8617,403.661424
d08c29302907086e8fe823369542f3ae,20c60f23d0f1231ad895fde039554666,f83a0ce66c457dfdf564dafa364ae1d4,403.653565
8f567321ba12101dedc07c70b7021069,353452698ed9b7e594c057af6d63c95f,4d2711a0db9f671c10f8ce62aeb438bb,402.992708
c04a6c1c190e47ec62b4bb139921331a,ca3d75df70f40faa8b83505b242d83f1,d3abd72db4f9d182cf59e936ef0baf5a,398.227523
4962136f755981b83b03f476e66eea7d,89f586f0cbddc6428831c41c8c333c66,dff8b1ccb6e61a785f9fad1cd48df4af,398.143924
01f2285f85a1c603eb7ef755ad311769,546cd63915b3ef4ab92bfb85277bee75,81a9ef6a0791099bb5859d0104f94dc9,397.007419
